Gene	A_vs_B-FC	A_vs_B-p	A_vs_B-FDR	C_vs_B-FC	C_vs_B-p	C_vs_B-FDR	C_vs_D-FC	C_vs_D-p	C_vs_D-FDR	C_vs_E-FC	C_vs_E-p	C_vs_E-FDR
Ubtd2	-0.01	0.69	0.76	0.27	0.39	0.9	1.3	0.0087	0.055	1.3	0.0079	0.046
Ubtf	0.36	0.11	0.18	-0.27	0.4	0.9	-0.1	0.61	0.8	-0.45	0.069	0.22
Ubtfl1	2.2	0.29	0.4	-0.36	0.4	0.9	-2.9	0.042	0.16	-5.1	0.013	0.064
Ubxn1	-0.09	0.6	0.68	-0.36	0.39	0.9	0.09	0.72	0.8	0.18	0.51	0.68
Ubxn10	-2	0.066	0.12	-0.22	0.44	0.9	-1.9	0.004	0.035	0.04	0.94	0.95
Ubxn11	-0.87	0.17	0.25	-0.02	0.96	0.97	0.77	0.13	0.38	1.6	0.033	0.12
Ubxn2a	0.26	0.033	0.065	-0.26	0.33	0.84	-1.2	0.0074	0.05	-1.4	0.0035	0.028
Ubxn2b	0.27	0.32	0.42	0.1	0.59	0.9	-0.37	0.0053	0.042	-0.65	0.035	0.13
Ubxn4	-0.12	0.0079	0.018	0.53	0.0045	0.08	0.06	0.28	0.63	0.18	0.048	0.17
Ubxn6	-0.32	0.28	0.39	0.2	0.73	0.9	0.63	0.2	0.54	0.95	0.099	0.29
Ubxn7	-0.24	0.058	0.11	0.61	0.059	0.32	-0.18	0.32	0.69	0.06	0.73	0.76
Ubxn8	0.75	0.049	0.092	0.43	0.046	0.28	-0.61	0.035	0.14	-1.4	0.0035	0.028
Uchl1	-0.43	0.13	0.21	0.64	0.3	0.82	1.4	0.02	0.096	1.8	0.01	0.054
Uchl3	0.66	0.11	0.18	-0.47	0.032	0.22	-1.2	0.00036	0.012	-1.9	0.0023	0.023
Uchl4	0.56	0.048	0.091	-0.52	0.032	0.22	-1.3	0.00091	0.017	-1.8	0.00092	0.015
Uchl5	0.53	0.14	0.22	-0.6	0.017	0.16	-0.8	0.0053	0.042	-1.3	0.0032	0.027
Uck1	0.13	0.57	0.65	0.55	0.12	0.5	0.62	0.087	0.28	0.49	0.11	0.32
Uck2	0.33	0.043	0.083	-0.5	0.017	0.15	-0.02	0.82	0.85	-0.35	0.017	0.078
Uckl1	-0.35	0.23	0.33	0.82	0.022	0.18	0.09	0.49	0.8	0.44	0.13	0.35
Ucma	0.16	0.002	0.0048	-1.1	0.5	0.9	-2.7	0.0016	0.022	-2.8	0.0012	0.017
Ucn	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ucn2	-0.76	0.31	0.41	-0.83	0.33	0.84	-0.37	0.57	0.8	0.39	0.49	0.68
Ucn3	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
Ucp1	0.16	0.65	0.72	1.7	0.28	0.82	1	0.021	0.1	0.88	0.039	0.14
Ucp2	0.32	0.4	0.5	0.31	0.54	0.9	-0.41	0.28	0.62	-0.72	0.14	0.38
Ucp3	0.95	0.3	0.4	1.1	0.29	0.82	0.85	0.26	0.59	-0.1	0.64	0.68
Uevld	-0.42	0.063	0.12	0.5	0.16	0.62	0.07	0.8	0.83	0.5	0.12	0.34
Ufc1	0.09	0.0019	0.0048	0.34	0.02	0.17	0.11	0.21	0.56	0.02	0.79	0.82
Ufd1l	0.05	0.72	0.78	0.28	0.013	0.13	-0.07	0.33	0.7	-0.12	0.35	0.68
Ufl1	-0.44	0.025	0.052	0.85	0.016	0.15	0.02	0.92	0.93	0.45	0.052	0.18
Ufm1	0.09	0.25	0.36	0.02	0.91	0.94	-0.44	0.015	0.079	-0.54	0.013	0.066
Ufsp1	0.23	0.03	0.061	0.53	0.084	0.4	0.95	0.01	0.061	0.72	0.026	0.1
Ufsp2	-0.3	0.052	0.097	-0.03	0.79	0.9	-0.41	0.0051	0.041	-0.1	0.36	0.68
Ugcg	0.01	0.81	0.86	0.53	0.017	0.16	0.16	0.17	0.48	0.15	0.22	0.54
Ugdh	-0.11	0.017	0.037	1	0.00073	0.045	0.6	0.0028	0.029	0.71	0.0021	0.022
Uggt1	0.06	0.5	0.58	-0.06	0.55	0.9	0.18	0.14	0.41	0.12	0.29	0.64
Uggt2	0	1	1	1.8	0.00056	0.043	1.9	3.8e-05	0.008	1.9	9.4e-05	0.0072
Ugp2	-0.26	0.071	0.13	0.49	0.12	0.52	0.17	0.42	0.8	0.43	0.091	0.27
Ugt1a1	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt1a10	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt1a2	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt1a5	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt1a6a	-0.21	0.88	0.91	-1.1	0.56	0.9	-0.98	0.58	0.8	-0.79	0.67	0.71
Ugt1a6b	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt1a7c	0.86	0.42	0.52	2.3	0.031	0.21	2	0.026	0.12	1.2	0.28	0.63
Ugt1a8	1.3	0.32	0.42	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
Ugt1a9	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2a1	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2a3	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2b1	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2b34	-0.52	0.1	0.17	2	0.024	0.19	2.4	0.012	0.069	2.9	0.005	0.035
Ugt2b35	0.16	0.002	0.0048	0.75	0.35	0.87	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2b36	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2b37	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2b38	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt2b5	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Ugt3a1	0.16	0.002	0.0048	-1.2	0.31	0.83	-1.1	0.34	0.72	-1.3	0.27	0.63
Ugt3a2	0.16	0.002	0.0048	1.4	0.37	0.9	-1.5	0.32	0.69	-1.7	0.27	0.62
Ugt8a	0.66	9.3e-06	0.0016	-0.44	0.12	0.52	-2.1	6e-05	0.008	-2.8	4.1e-05	0.007
Uhmk1	-0.15	0.05	0.094	0.53	0.0095	0.11	0.42	0.0028	0.029	0.57	0.002	0.021
Uhrf1	0.42	0.12	0.19	-0.27	0.33	0.84	-0.01	0.94	0.96	-0.43	0.11	0.31
Uhrf1bp1	0.2	0.16	0.24	0.27	0.26	0.81	0.74	0.0048	0.039	0.55	0.0087	0.049
Uhrf1bp1l	-0.19	0.048	0.092	0.23	0.25	0.78	-0.07	0.57	0.8	0.12	0.33	0.68
Uhrf2	-0.14	0.044	0.085	0.42	0.021	0.17	0.41	0.0066	0.047	0.54	0.0026	0.025
Uimc1	-0.01	0.97	0.97	0.14	0.44	0.9	-0.61	0.015	0.08	-0.6	0.025	0.1
Ulbp1	0.03	0.86	0.9	0.15	0.42	0.9	-0.71	0.017	0.088	-0.74	0.028	0.11
Ulk1	-0.41	0.0051	0.012	-1.1	0.082	0.4	0.27	0.072	0.24	0.68	0.0044	0.033
Ulk2	-1	0.0019	0.0048	2	0.0014	0.054	2.1	0.00092	0.017	3.1	0.00024	0.009
Ulk3	-0.33	0.025	0.051	0.47	0.24	0.77	0.62	0.019	0.094	0.95	0.007	0.043
Ulk4	-0.83	0.23	0.34	0.73	0.17	0.64	1.2	0.05	0.19	2	0.031	0.12
Umod	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
Umodl1	0.16	0.89	0.91	1.2	0.022	0.18	-1.7	0.064	0.22	-1.9	0.048	0.17
Umps	0.68	0.073	0.13	-0.94	0.00082	0.045	-0.41	0.0083	0.054	-1.1	0.0081	0.047
Unc119	-0.06	0.79	0.84	0.58	0.22	0.75	1.3	0.0034	0.032	1.4	0.0061	0.04
Unc119b	-0.02	0.84	0.88	0.36	0.34	0.86	0.98	0.014	0.078	1	0.012	0.061
Unc13a	-3.4	0.0011	0.0048	-1.1	0.097	0.44	-1.9	0.007	0.048	1.5	0.013	0.063
Unc13b	0.07	0.3	0.4	1.3	0.00011	0.042	0.85	0.00063	0.014	0.78	0.0012	0.016
Unc13c	-1.7	0.14	0.22	0.34	0.78	0.9	2.4	0.071	0.24	4.1	0.0077	0.046
Unc13d	-0.27	0.8	0.85	-0.72	0.53	0.9	1.5	0.016	0.082	1.8	0.11	0.33
Unc45a	0.02	0.93	0.94	0.57	0.42	0.9	0.98	0.085	0.28	0.96	0.081	0.25
Unc45b	0.97	0.19	0.29	-0.37	0.19	0.68	-0.02	0.96	0.96	-0.99	0.076	0.23
Unc50	-0.21	0.02	0.043	0.21	0.083	0.4	-0.03	0.66	0.8	0.18	0.094	0.28
Unc5a	-0.45	0.45	0.55	3.5	0.011	0.12	7	0.00025	0.011	7.4	5.5e-06	0.007
Unc5b	0.35	0.36	0.46	-1.1	0.073	0.37	-1.3	0.048	0.18	-1.6	0.024	0.099
Unc5c	-1.9	0.012	0.027	1.2	0.002	0.06	1.2	0.0073	0.05	3.2	0.00027	0.0094
Unc5cl	0.31	0.58	0.66	-0.07	0.88	0.92	-0.64	0.25	0.59	-0.95	0.12	0.34
Unc5d	-0.95	0.21	0.31	2.6	0.018	0.16	2.1	0.047	0.18	3	0.0088	0.049
Unc79	-2.8	0.0037	0.0086	1.1	0.18	0.65	2.3	0.0028	0.029	5.1	5.5e-05	0.007
Unc80	-0.73	0.018	0.038	0.83	0.067	0.35	-0.77	0.074	0.25	-0.04	0.91	0.92
Unc93a	3	1.4e-06	0.0016	1.5	0.004	0.076	2.9	0.00028	0.011	-0.1	0.64	0.68
Unc93b1	0.69	0.43	0.53	0.21	0.76	0.9	0.22	0.76	0.8	-0.47	0.61	0.68
Uncx	0.58	0.77	0.82	-0.04	0.86	0.9	1.6	0.26	0.59	1.1	0.31	0.67
Ung	0.94	0.02	0.043	-0.72	0.069	0.35	-0.7	0.045	0.17	-1.6	0.0035	0.029
Unk	-0.05	0.79	0.84	0.19	0.81	0.9	1.6	0.02	0.097	1.7	0.014	0.069
Unkl	-0.23	0.52	0.6	1.5	0.26	0.8	1.9	0.11	0.33	2.1	0.082	0.25
Uox	0.16	0.002	0.0048	-2.8	0.00051	0.043	-2.7	0.00032	0.012	-2.9	0.00029	0.0095
Upb1	0.45	0.43	0.53	0.83	0.036	0.24	-0.93	0.13	0.38	-1.4	0.0096	0.052
Upf1	0.29	0.019	0.04	-0.26	0.66	0.9	0.44	0.33	0.71	0.15	0.72	0.75
Upf2	-0.25	0.024	0.049	-0.16	0.48	0.9	-0.75	0.0069	0.048	-0.5	0.024	0.099
Upf3a	0.25	0.27	0.37	0.39	0.12	0.5	0.37	0.17	0.47	0.12	0.58	0.68
Upf3b	-0.17	0.39	0.49	-0.19	0.16	0.61	-0.23	0.058	0.21	-0.05	0.75	0.78
Upk1a	0.28	0.22	0.33	-0.97	0.013	0.13	-0.06	0.65	0.8	-0.34	0.19	0.48
Upk1b	-2.4	0.31	0.41	0.44	0.53	0.9	1.3	0.41	0.8	3.7	0.036	0.13
Upk2	-0.21	0.6	0.67	-2.6	0.23	0.75	-3.1	0.017	0.086	-2.9	0.025	0.1
Upk3a	-0.8	0.31	0.41	-0.04	0.86	0.9	5.2	0.00087	0.017	6	0.00017	0.0085
Upk3b	1.4	0.075	0.13	-1.8	0.13	0.55	-1.7	0.026	0.12	-3.1	0.0062	0.04
Upk3bl	0.42	0.43	0.53	0.69	0.56	0.9	0.55	0.43	0.8	0.14	0.83	0.85
Upp1	0.11	0.72	0.78	-0.9	0.046	0.28	-3.4	0.00032	0.012	-3.5	1.8e-05	0.007
Upp2	-1.9	0.25	0.35	-0.56	0.3	0.83	-1.3	0.26	0.6	0.6	0.25	0.59
Uprt	0.03	0.86	0.9	0.34	0.22	0.74	0.24	0.28	0.63	0.21	0.25	0.58
Uqcc	0.09	0.59	0.67	0.04	0.53	0.9	0.08	0.48	0.8	-0.01	0.93	0.94
Uqcr10	0.14	0.53	0.61	-0.5	0.61	0.9	0.35	0.54	0.8	0.21	0.71	0.75
Uqcr11	0.3	0.19	0.28	0.41	0.69	0.9	1.3	0.19	0.5	1	0.27	0.63
Uqcrb	0.17	0.0087	0.02	0.12	0.14	0.57	-0.79	0.00067	0.015	-0.96	0.00067	0.013
Uqcrc1	0.22	0.27	0.38	-0.33	0.47	0.9	-0.06	0.83	0.86	-0.28	0.34	0.68
Uqcrc2	0.01	0.95	0.96	-0.07	0.63	0.9	-0.51	0.011	0.063	-0.52	0.0061	0.04
Uqcrfs1	0.05	0.14	0.23	-0.15	0.091	0.42	-0.26	0.015	0.078	-0.31	0.014	0.068
Uqcrh	-0.09	0.25	0.36	-0.3	0.056	0.31	-0.51	0.0093	0.058	-0.43	0.024	0.097
Uqcrq	0.55	0.1	0.17	-0.14	0.84	0.9	0.7	0.21	0.55	0.16	0.74	0.77
Urb1	0.77	0.015	0.033	-0.75	0.028	0.2	-0.6	0.016	0.082	-1.4	0.002	0.021
Urgcp	-0.15	0.4	0.5	0.44	0.28	0.82	1.4	0.007	0.049	1.6	0.0054	0.037
Uri1	0.14	0.18	0.28	-0.45	0.11	0.48	-0.65	0.026	0.12	-0.79	0.016	0.075
Urm1	0.36	0.11	0.18	-0.48	0.33	0.84	0.08	0.77	0.8	-0.28	0.26	0.61
Uroc1	0.31	0.67	0.74	-0.39	0.75	0.9	1.8	0.18	0.49	1.5	0.23	0.55
Urod	-0.05	0.78	0.83	0.26	0.63	0.9	0.08	0.84	0.86	0.13	0.75	0.78
Uros	0.25	0.44	0.54	-0.12	0.5	0.9	-0.31	0.16	0.46	-0.57	0.1	0.3
Usb1	0.09	0.24	0.34	0.18	0.66	0.9	0	0.99	1	-0.09	0.76	0.79
Use1	0.1	0.77	0.83	0.09	0.91	0.93	0.52	0.34	0.72	0.42	0.42	0.68
Usf1	0.06	0.68	0.75	-0.34	0.58	0.9	0.34	0.49	0.8	0.28	0.55	0.68
Usf2	-0.22	0.32	0.42	0.49	0.19	0.69	0.88	0.018	0.089	1.1	0.011	0.057
Ush1c	0.36	0.52	0.61	1.2	0.17	0.63	1.9	0.011	0.063	1.5	0.0063	0.041
Ush1g	-0.78	0.68	0.75	-0.39	0.75	0.9	0.49	0.77	0.8	1.3	0.36	0.68
Ush2a	-0.26	0.82	0.87	1.6	0.26	0.8	-0.19	0.9	0.92	0.09	0.94	0.94
Ushbp1	0.16	0.79	0.84	-2.1	0.017	0.15	-1.4	0.022	0.1	-1.6	0.016	0.075
Usmg5	0.3	0.39	0.49	0.56	0.61	0.9	-0.43	0.26	0.6	-0.73	0.13	0.36
Uso1	-0.12	0.14	0.22	0.45	0.066	0.34	-0.79	0.0075	0.051	-0.67	0.012	0.062
Usp-ps	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Usp1	0.47	0.16	0.24	0.14	0.55	0.9	-0.23	0.17	0.48	-0.71	0.048	0.16
Usp11	-0.72	0.014	0.032	0.88	0.0051	0.086	0.85	0.0048	0.039	1.6	0.0012	0.016
Usp12	-0.05	0.6	0.68	0.42	0.0031	0.072	-0.02	0.84	0.86	0.03	0.68	0.72
Usp13	0.07	0.74	0.8	0.83	8e-04	0.045	0.48	0.0082	0.054	0.41	0.082	0.25
Usp14	0.3	0.21	0.31	-0.25	0.21	0.72	-0.5	0.015	0.08	-0.81	0.014	0.068
Usp15	0.46	0.085	0.15	-0.23	0.29	0.82	-0.66	0.0022	0.026	-1.1	0.003	0.026
Usp16	0.17	0.35	0.45	-0.06	0.75	0.9	-0.69	0.0046	0.038	-0.86	0.0091	0.051
Usp17la	2.5	0.077	0.14	0.52	0.089	0.42	-0.76	0.064	0.22	-3.2	0.013	0.063
Usp17lb	2.2	0.0017	0.0048	0.04	0.87	0.91	-1.4	0.0098	0.06	-3.5	0.00051	0.012
Usp17lc	3	0.095	0.16	-0.08	0.52	0.9	-0.73	0.15	0.43	-3.8	0.016	0.075
Usp17ld	3	0.29	0.4	0.1	0.89	0.92	-1.3	0.053	0.19	-4.3	0.093	0.27
Usp17le	3.1	0.038	0.075	0.07	0.51	0.9	-1.5	0.041	0.16	-4.6	0.00096	0.015
Usp18	-0.68	0.34	0.44	3.5	0.021	0.18	3.6	0.018	0.091	4.3	0.0057	0.038
Usp19	-0.14	0.49	0.57	-0.03	0.96	0.97	0.59	0.2	0.54	0.74	0.12	0.35
Usp2	-0.34	0.16	0.25	0.38	0.086	0.41	0.7	0.018	0.09	1	0.0087	0.049
Usp20	-0.45	0.15	0.23	0.32	0.58	0.9	1.1	0.042	0.16	1.5	0.02	0.087
Usp21	0.12	0.44	0.54	0.19	0.57	0.9	0.46	0.086	0.28	0.34	0.11	0.33
Usp22	-0.14	0.0055	0.013	0.29	0.0049	0.084	0.5	0.00065	0.015	0.64	0.00049	0.012
Usp24	0.21	0.0091	0.02	0.03	0.8	0.9	0.14	0.097	0.31	-0.07	0.33	0.68
Usp25	0.22	0.15	0.24	1.3	0.00043	0.043	1.8	0.00012	0.0089	1.6	0.00033	0.0099
Usp26	1.6	0.11	0.18	-0.42	0.34	0.86	-3	0.0084	0.054	-4.6	0.0014	0.018
Usp27x	-0.23	0.12	0.19	-0.16	0.48	0.9	-0.31	0.22	0.58	-0.09	0.69	0.72
Usp28	0.06	0.59	0.67	-0.7	0.049	0.29	-1.1	0.0091	0.057	-1.2	0.0091	0.05
Usp29	-0.66	0.17	0.26	-1.5	0.003	0.071	-0.73	0.094	0.3	-0.07	0.7	0.73
Usp3	-0.47	0.0022	0.0051	0.56	0.0052	0.086	1.2	0.00039	0.012	1.6	0.00012	0.0078
Usp30	-0.35	0.11	0.18	-0.02	0.95	0.97	0.55	0.042	0.16	0.9	0.014	0.068
Usp31	-0.07	0.35	0.45	0.3	0.011	0.12	0.2	0.038	0.15	0.27	0.036	0.13
Usp32	-0.37	0.024	0.05	0.36	0.15	0.59	-0.36	0.064	0.22	0	0.97	0.98
Usp33	-0.23	0.015	0.033	0.2	0.33	0.84	-0.17	0.3	0.66	0.06	0.7	0.73
Usp34	0.19	0.17	0.25	0.14	0.54	0.9	-0.37	0.045	0.17	-0.56	0.019	0.085
Usp35	-0.77	0.19	0.29	0.4	0.16	0.61	0.75	0.026	0.11	1.5	0.023	0.096
Usp36	0.62	0.029	0.058	-0.33	0.41	0.9	0.22	0.48	0.8	-0.39	0.25	0.59
Usp37	0.13	0.45	0.55	-0.11	0.69	0.9	-0.5	0.064	0.22	-0.63	0.054	0.18
Usp38	0.08	0.061	0.11	-0.16	0.2	0.71	-0.4	0.0072	0.05	-0.48	0.0061	0.04
Usp39	0.48	0.021	0.044	-0.48	0.0045	0.08	-0.37	0.0039	0.035	-0.86	0.0017	0.02
Usp4	0.12	0.31	0.41	0.28	0.011	0.12	-0.05	0.51	0.8	-0.17	0.12	0.34
Usp40	0.03	0.71	0.77	0.66	0.02	0.17	0.5	0.0049	0.04	0.48	0.014	0.066
Usp42	0.03	0.35	0.45	0.22	0.12	0.51	0.55	0.0014	0.021	0.53	0.0026	0.025
Usp43	-0.58	0.19	0.29	-0.02	0.95	0.97	1.1	0.0027	0.028	1.7	0.0075	0.045
Usp44	0.51	0.1	0.17	0.28	0.4	0.9	0.05	0.86	0.89	-0.46	0.14	0.38
Usp45	-0.01	0.92	0.94	0.02	0.93	0.95	-0.57	0.022	0.1	-0.56	0.031	0.12
Usp46	0.09	0.46	0.55	0.8	0.009	0.11	1.7	0.00065	0.015	1.6	0.00039	0.01
Usp47	-0.16	0.02	0.043	0.63	0.015	0.15	0.54	0.0023	0.026	0.7	0.001	0.015
Usp48	-0.13	0.013	0.028	-0.2	0.13	0.53	-0.7	0.0032	0.031	-0.57	0.0066	0.042
Usp49	-0.31	0.062	0.11	0.79	0.033	0.23	0.84	0.027	0.12	1.2	0.01	0.054
Usp5	0.32	0.042	0.081	0.25	0.5	0.9	0.58	0.086	0.28	0.27	0.33	0.68
Usp50	0.16	0.89	0.91	-0.61	0.35	0.87	-5.2	0.0021	0.025	-5.4	0.0018	0.02
Usp51	-0.24	0.14	0.22	1.5	0.00081	0.045	0.7	0.01	0.062	0.94	0.0037	0.029
Usp53	0.01	0.92	0.94	0.15	0.38	0.9	-0.79	0.001	0.018	-0.8	0.0048	0.034
Usp54	-0.03	0.47	0.56	0.28	0.025	0.19	0.24	0.017	0.087	0.27	0.021	0.091
Usp6nl	0.07	0.33	0.43	0.44	0.0041	0.077	0.45	0.0017	0.023	0.38	0.011	0.057
Usp7	0.22	0.14	0.22	-0.52	0.034	0.23	-0.76	0.0041	0.036	-0.98	0.0035	0.029
Usp8	0.16	0.18	0.27	-0.06	0.41	0.9	-0.52	0.002	0.024	-0.67	0.0027	0.025
Usp9x	-0.06	0.47	0.55	-0.06	0.85	0.9	-0.77	0.027	0.12	-0.72	0.03	0.12
Usp9y	0.31	0.55	0.63	-0.04	0.85	0.9	-1.1	0.011	0.065	-1.4	0.022	0.092
Uspl1	0.22	0.25	0.36	-0.37	0.006	0.092	-0.26	0.017	0.087	-0.48	0.03	0.12
Ust	-0.07	0.45	0.54	0.68	0.0076	0.1	0.55	0.0061	0.045	0.62	0.0061	0.04
Utf1	0.96	0.055	0.1	-2.4	0.056	0.31	-4.4	0.0024	0.027	-5.4	8e-04	0.014
Utp11l	0.19	0.083	0.14	-0.44	0.0019	0.059	-0.61	0.0016	0.022	-0.8	7e-04	0.013
Utp14a	0.29	0.21	0.31	-1.7	0.001	0.048	-1.8	1.9e-05	0.008	-2.1	0.00033	0.0099
Utp14b	0.32	0.036	0.071	0.5	0.074	0.37	0	0.99	0.99	-0.32	0.031	0.12
Utp15	0.35	0.15	0.24	-0.6	0.0025	0.066	-0.64	0.00086	0.017	-0.99	0.0045	0.033
Utp18	0.62	0.043	0.082	-0.55	0.017	0.15	-0.67	0.0012	0.019	-1.3	0.0018	0.02
Utp20	0.73	0.13	0.21	-0.51	0.0053	0.087	-0.67	0.00013	0.0091	-1.4	0.0096	0.053
Utp23	0.13	0.37	0.47	0.01	0.94	0.96	-0.55	0.015	0.08	-0.68	0.015	0.072
Utp3	0.27	0.06	0.11	-0.3	0.026	0.2	-0.36	0.0071	0.049	-0.63	0.0045	0.033
Utp6	0.37	0.08	0.14	-0.52	0.0099	0.12	-0.86	0.00047	0.013	-1.2	0.0012	0.017
Utrn	0.02	0.93	0.95	0.22	0.03	0.21	0.51	0.002	0.024	0.5	0.035	0.13
Uts2	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Uts2b	-4.7	0.049	0.093	-0.84	0.23	0.75	-0.73	0.26	0.59	4	0.034	0.13
Uts2r	3.5	0.027	0.055	-0.13	0.95	0.97	1.6	0.16	0.46	-2	0.15	0.41
Uty	-0.09	0.53	0.61	0.27	0.22	0.75	-0.45	0.025	0.11	-0.37	0.07	0.22
Uvrag	-0.05	0.6	0.68	0.16	0.3	0.83	-0.79	0.0058	0.044	-0.74	0.0046	0.033
Uvssa	-0.69	0.0076	0.017	1.1	0.0014	0.054	1.6	4e-04	0.013	2.3	0.00014	0.008
Uxs1	0.28	0.12	0.19	0.42	0.0046	0.081	0.32	0.045	0.17	0.04	0.71	0.74
Uxt	0.19	0.46	0.55	0.23	0.16	0.62	-0.3	0.18	0.49	-0.49	0.041	0.15
V1ra8	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
V1rd19	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Vac14	0.45	0.032	0.064	-0.08	0.84	0.9	0.41	0.23	0.59	-0.04	0.89	0.91
Vamp1	-0.64	0.096	0.16	0.59	0.0067	0.097	0.38	0.095	0.3	1	0.0077	0.046
Vamp2	-0.53	0.0062	0.014	0.53	0.018	0.16	0.25	0.11	0.34	0.78	0.0062	0.04
Vamp3	0.14	0.28	0.39	0.28	0.046	0.28	0.35	0.013	0.072	0.2	0.08	0.24
Vamp4	-0.35	0.027	0.055	0.99	0.0076	0.1	0.85	0.0099	0.06	1.2	0.0027	0.025
Vamp5	0.56	0.58	0.66	1.7	0.03	0.21	1.3	0.089	0.29	0.74	0.4	0.68
Vamp7	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Vamp7-ps	-0.18	0.38	0.48	0.21	0.34	0.86	-0.26	0.32	0.7	-0.08	0.7	0.74
Vamp8	0.29	0.49	0.57	0.68	0.1	0.46	0.18	0.53	0.8	-0.11	0.8	0.83
Vangl1	0.17	0.19	0.28	0.76	0.021	0.17	1.6	0.00023	0.011	1.4	0.00076	0.013
Vangl2	-0.62	0.017	0.036	0.38	0.12	0.52	1.7	0.0012	0.019	2.3	0.00049	0.012
Vapa	0.09	0.41	0.51	-0.21	0.3	0.83	-0.67	0.0074	0.05	-0.76	0.0063	0.041
Vapb	-0.18	0.21	0.3	0.4	0.31	0.83	1.1	0.0098	0.06	1.3	0.0066	0.042
Vars	0.67	0.026	0.054	-0.22	0.69	0.9	0.77	0.11	0.34	0.1	0.8	0.82
Vars2	-0.22	0.42	0.52	0.08	0.9	0.93	1.1	0.092	0.29	1.3	0.057	0.19
Vash1	-0.84	0.069	0.12	2	0.0031	0.072	3.2	0.00015	0.0094	4.1	0.00012	0.0077
Vash2	-0.37	0.016	0.034	0.27	0.12	0.52	0.53	0.019	0.094	0.9	0.0034	0.028
Vasn	-0.25	0.61	0.69	1.2	0.17	0.64	2.4	0.015	0.08	2.7	0.018	0.08
Vasp	-0.09	0.66	0.73	-0.38	0.31	0.83	-0.37	0.11	0.33	-0.28	0.28	0.64
Vat1	-0.23	0.61	0.69	0.39	0.12	0.52	-0.13	0.29	0.64	0.1	0.78	0.81
Vat1l	-1.8	0.021	0.044	1.5	0.053	0.3	1.4	0.058	0.21	3.2	0.0055	0.037
Vaultrc5	-0.63	0.69	0.75	-0.39	0.75	0.9	0.31	0.84	0.87	0.93	0.44	0.68
Vav1	0.95	0.29	0.4	1.4	0.011	0.12	-3	0.014	0.077	-3.9	2e-04	0.0087
Vav2	-0.12	0.35	0.45	0.41	0.32	0.83	0.9	0.017	0.087	1	0.013	0.063
Vav3	-0.49	0.016	0.034	2.9	0.0034	0.073	1.6	0.018	0.091	2.1	0.0075	0.045
Vax1	0.91	0.42	0.52	3	6e-04	0.043	4.2	0.009	0.057	3.3	0.00058	0.012
Vax2	-0.69	0.48	0.56	3.7	0.0023	0.063	4.8	0.0034	0.032	5.5	0.00015	0.0081
Vax2os	-1.4	0.43	0.53	-2.4	0.013	0.13	-2.3	0.17	0.46	-0.89	0.18	0.46
Vax2os1	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Vbp1	0	0.95	0.96	0.28	0.2	0.71	-0.67	0.0097	0.06	-0.67	0.009	0.05
